"name","split","no","class","team","conference","pos","gp","gs","ab","pa","r","h","2b","3b","hr","rbi","tb","k","bb","hbp","sf","sh","cs","sb","dp","avg","obp","slg","ops","iso","babip","woba","k%","bb%","hr%","rc"
"A. Causey","ALL","9","N/A","Maranatha Baptist","DIII Independent","ss","21","21","67","69","3","15","4","1","0","5","21","5","1","1","0","0","0","2","1",".224",".246",".313",".559",".090",".242",".247",".072",".014",".000","4.98"
"A. Domingos","ALL","19","N/A","JWU (Providence)","Great Northeast","CF","28","23","78","96","21","25","9","3","1","22","43","21","12","2","3","1","2","4","1",".321",".411",".551",".962",".231",".407",".404",".219",".125",".010","17.40"
"A. Gilpin","ALL","22","N/A","Hope","Michigan Intercol. Ath. Assn.","DH","13","6","26","31","1","6","2","0","0","9","8","3","4","0","1","0","0","0","1",".231",".323",".308",".631",".077",".250",".286",".097",".129",".000","2.71"
"A. Klamfoth","ALL","26","N/A","Capital","OAC","c","19","16","52","66","6","9","3","0","0","2","12","16","9","3","1","1","0","0","1",".173",".323",".231",".554",".058",".243",".265",".242",".136",".000","4.76"
"A. Miller","ALL","31","N/A","Thomas (ME)","North Atlantic","rf","28","27","107","116","22","47","8","1","0","13","57","17","8","0","0","1","3","10","0",".439",".478",".533","1.011",".093",".522",".441",".147",".069",".000","26.73"
"A. Miller","ALL","8","N/A","Worcester St.","MASCAC","ph","27","20","85","93","18","32","5","1","6","27","57","16","5","1","2","0","0","0","3",".376",".409",".671","1.080",".294",".400",".457",".172",".054",".065","20.39"
"A. Quatrochi","ALL","32","N/A","Manhattanville","MAC Freedom","2B","27","16","67","87","29","26","2","0","0","13","28","5","16","2","1","1","0","4","0",".388",".512",".418",".930",".030",".413",".418",".057",".184",".000","18.35"
"A. Robinson","ALL","27","Fr","Ithaca","Empire 8","LF","14","5","25","32","3","2","0","0","0","1","2","10","3","4","0","0","0","0","2",".080",".281",".080",".361",".000",".133",".210",".313",".094",".000","0.26"
"A. Roy","ALL","2","N/A","Elms","NECC","p","32","29","70","83","7","15","1","0","0","4","16","19","6","3","1","3","0","1","1",".214",".300",".229",".529",".014",".288",".241",".229",".072",".000","5.84"
"A.J. Falconite","ALL","14","Fr","Stevens","Empire 8","PH/RF","39","38","132","168","24","44","4","0","4","28","60","39","27","4","5","0","0","0","2",".333",".446",".455",".901",".121",".426",".399",".232",".161",".024","30.23"
