"name","split","no","class","team","conference","pos","gp","gs","ab","pa","r","h","2b","3b","hr","rbi","tb","k","bb","hbp","sf","sh","cs","sb","dp","avg","obp","slg","ops","iso","babip","woba","k%","bb%","hr%","rc"
"A Blount","ALL","9","Jr","Trevecca Nazarene","G-MAC","PH/CF","17","7","23","29","2","4","1","0","0","1","5","9","5","1","0","0","0","2","1",".174",".345",".217",".562",".043",".286",".280",".310",".172",".000","2.34"
"A. Blair","ALL","6","N/A","Fla. Southern","Sunshine State","2b","2","2","3","3","1","1","1","0","0","0","2","1","0","0","0","0","0","0","0",".333",".333",".667","1.000",".333",".500",".423",".333",".000",".000","0.53"
"A. Clarey","ALL","5","N/A","Findlay","G-MAC","ph","25","11","51","62","13","16","0","1","0","4","18","14","7","1","1","2","0","2","2",".314",".400",".353",".753",".039",".421",".331",".226",".113",".000","8.52"
"A. Delgado","ALL","3","So","West Va. Wesleyan","MEC","C","2","2","2","4","0","1","0","0","0","1","1","0","2","0","0","0","0","0","0",".500",".750",".500","1.250",".000",".500",".568",".000",".500",".000","1.20"
"A. INGRAM","ALL","27","N/A","Paine","SIAC","2b","18","8","27","32","4","4","1","0","0","2","5","10","4","0","0","1","1","1","0",".148",".258",".185",".443",".037",".235",".209",".313",".125",".000","1.11"
"A. Marko","ALL","10","N/A","Walsh","G-MAC","ph","4","0","4","6","2","1","0","0","0","1","1","1","2","0","0","0","0","0","0",".250",".500",".250",".750",".000",".333",".378",".167",".333",".000","0.94"
"A. Ramire","ALL","34","N/A","Davis & Elkins","G-MAC","dh","2","1","4","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",".000",".000",".000",".000",".000",".000",".000",".250",".000",".000","-0.41"
"A. Reed","ALL","40","N/A","Lenoir-Rhyne","SAC","c","20","15","55","71","16","16","4","0","2","13","26","20","12","2","0","2","0","5","1",".291",".435",".473",".908",".182",".424",".393",".282",".169",".028","12.61"
"A. Silva","ALL","1","Sr","Carson-Newman","SAC","2B","33","31","107","124","23","30","7","1","1","15","42","28","12","2","1","2","1","4","0",".280",".361",".393",".754",".112",".367",".331",".226",".097",".008","16.76"
"A. Viggiano","ALL","12","Fr","Bloomsburg","PSAC","dh","23","4","32","33","10","5","4","0","0","4","9","12","1","0","0","0","2","0","0",".156",".182",".281",".463",".125",".250",".202",".364",".030",".000","0.19"
"A.J. Arnold","ALL","3","Fr","Bellarmine","GLVC","OF","20","18","57","68","9","14","5","0","1","6","22","22","10","0","1","0","2","1","0",".246",".353",".386",".739",".140",".371",".330",".324",".147",".015","7.85"
"A.J. Canine","ALL","13","Sr","Southern Wesleyan","Conference Carolinas","C","3","0","3","4","0","0","0","0","0","0","0","2","0","1","0","0","0","0","1",".000",".250",".000",".250",".000",".000",".180",".500",".000",".000","-0.34"
